event
       -3.1317      0.143354             8           0.5
       4.11826      -3.45591             3           0.5
      -1.76819       2.18243             8           0.5
       4.22495       2.83955             7           0.5
       3.62441     -0.571416             6           0.5
       4.39156      -2.33082             3           0.5
       1.41286     -0.505963             6           0.5
      -1.41194       1.52184            11           0.5
       3.07755     -0.658227             6           0.5
      -1.89215       2.69885             9           0.5
       2.77606     -0.981749             5           0.5
       1.38544     -0.088144             5           0.5
      0.228306      -5.05676             6           0.5
        2.9138      -4.65626             2           0.5
       -2.1133      0.771327             7           0.5
     -0.727478       2.46253             7           0.5
       2.89962      0.452495             9           0.5
      0.380315       1.95886             9           0.5
      0.987013       4.01552             6           0.5
       2.82329      -5.04729             1           0.5
      0.132019     -0.561959             9           0.5
      -3.78472     -0.553289             4           0.5
       -5.1143      -1.80155             2           0.5
       2.66919        -3.877             2           0.5
       5.65466      -1.32007             2           0.5
      -4.96153       1.48123             7           0.5
      -2.01188      -2.27633             9           0.5
       5.30028      -4.36057             1           0.5
      -2.49461      -4.11555             4           0.5
       4.84153      -1.83156             1           0.5
      -2.79266     -0.130262             8           0.5
       1.37566       1.84593             7           0.5
      0.090072      -3.59513             5           0.5
       2.45848       -3.2031             3           0.5
      -1.73281      -7.16733             1           0.5
       1.38236       4.33222            12           0.5
     -0.204327     -0.607079             9           0.5
        3.2685       -3.2301             5           0.5
       2.54758      -3.63857             2           0.5
      -3.21586      0.462544            11           0.5
       2.81862      -1.48508             6           0.5
       2.12962       3.90449             8           0.5
       2.01974      -3.38189             7           0.5
       2.88809      -4.12637             6           0.5
     -0.120514       0.27534            10           0.5
       1.94249      -5.95735             2           0.5
       4.77693      -4.03366             1           0.5
       4.08748      -4.62021             2           0.5
       -1.4496       6.02194            10           0.5
       2.03878       4.15956             6           0.5
      -2.80126     -0.906123             8           0.5
      -1.43882     -0.585095            12           0.5
      -1.50247     -0.978785            10           0.5
      -3.06689       2.39057             6           0.5
       3.81373      0.153672             4           0.5
       2.24806      -3.41424             3           0.5
       5.78257     -0.743995             3           0.5
       1.20467       1.88748             6           0.5
       1.93487      0.799634            10           0.5
      -4.03914       2.98525             4           0.5
      -3.12667      0.750329             9           0.5
     -0.307798       -5.1038             3           0.5
      -5.98198     -0.665015             1           0.5
       2.26024     -0.717282             7           0.5
       -6.0792       -3.2307             1           0.5
       2.64356       2.88289             8           0.5
       4.41763      0.756703             8           0.5
     -0.630335        1.2566            10           0.5
       3.72609      -3.57063             2           0.5
      -5.24322      -4.31509             1           0.5
      -2.25744      -3.47899             4           0.5
       4.31758       1.15533             7           0.5
      -1.26686       2.52677            11           0.5
       3.49655       2.66844             3           0.5
     -0.520715      -2.73392             6           0.5
      -5.02897       1.80087             6           0.5
       5.35393      0.830171             5           0.5
       3.51536        1.6281             6           0.5
       1.28669      -4.40332             6           0.5
       1.65147     -0.890676             8           0.5
   -0.00476683     -0.270543             9           0.5
      -1.73579      -1.25132            14           0.5
     -0.163067      -2.07364             8           0.5
       -3.6741      -4.43355             1           0.5
       5.68435        2.5223             3           0.5
       -1.4263      -5.10065             4           0.5
      -3.19983      -3.04374             2           0.5
      0.633931      -1.07002             5           0.5
      -3.99531      -4.23287             1           0.5
     -0.935985       3.44026             7           0.5
      -1.73075       2.86454            10           0.5
        3.5203      -3.00222             4           0.5
      -1.27287      0.102456            14           0.5
      0.177934      0.127866             7           0.5
      0.156257       1.09505             4           0.5
       5.34072    -0.0701545             1           0.5
      -4.21364      0.623801             5           0.5
      0.980193      -1.62393             9           0.5
       1.23822      -3.01316             1           0.5
      0.840157       3.08198             6           0.5
       4.75028        4.9205             2           0.5
      -2.12565         1.552             5           0.5
      -1.44888    -0.0588019             9           0.5
       3.41605      0.277424             9           0.5
      0.490519      -5.84719             4           0.5
     -0.981585      -4.05629             2           0.5
       2.13564       2.71089             7           0.5
      -1.08892      -3.50927             8           0.5
       1.76643      -5.06981             4           0.5
      -4.45919      -2.95176             1           0.5
      -3.39844       0.99327             5           0.5
      -3.78181      -2.17208             2           0.5
        2.7651        2.6221             7           0.5
      -3.28763       3.10539             8           0.5
       3.75919     -0.347288             4           0.5
      0.322491       -4.4224             5           0.5
     -0.113602      -2.78029             6           0.5
       4.67581      -2.53585             4           0.5
      -2.38685      -3.27191             4           0.5
     -0.657262       2.10108             8           0.5
      -4.86024     -0.898608             6           0.5
      -2.81897       2.69796            11           0.5
      -4.31915      0.551604             6           0.5
       1.74441       2.70093             5           0.5
      -2.86983      0.556791             3           0.5
       1.14426    -0.0285425            11           0.5
      -2.69501      -4.63682             5           0.5
     -0.935813      -6.12301             2           0.5
       2.63792       4.12988             5           0.5
       -5.6215     -0.631644             2           0.5
       6.04613      -2.77359             1           0.5
      0.301411       2.70187            12           0.5
      -3.01081      -5.81036             2           0.5
      -3.51494      -1.27742             2           0.5
       2.25416      -6.39563             1           0.5
       3.81645       -1.9467             3           0.5
      -2.71152     -0.272502            10           0.5
       2.71196      -5.19964             4           0.5
       1.84391     -0.280986             4           0.5
      -2.53711      -1.58053             9           0.5
       2.52305       3.01545             7           0.5
      -5.64443      -2.99568             2           0.5
      0.984429     0.0809589             8           0.5
       2.47768      -1.49674             7           0.5
     -0.347393       2.53048            11           0.5
      0.582551       1.89746             7           0.5
       2.46406      -2.15107             6           0.5
      -4.40643      -3.07855             2           0.5
       1.76808       5.25203             5           0.5
      -2.88579      -5.93252             1           0.5
      -1.01842      -4.05731             7           0.5
      0.699581       3.73349             8           0.5
      0.807471      -2.33115             9           0.5
       1.83254      -1.70136             6           0.5
      0.577185      -2.62788             6           0.5
      -1.89001      -2.96432             2           0.5
       1.56308      0.596537             9           0.5
       2.12595       1.23913             6           0.5
     -0.600457       1.12986             6           0.5
       3.44384      -1.58107             5           0.5
      -3.85226      -1.95247             2           0.5
     -0.534222      -6.11701             3           0.5
      -1.73145       3.69017             5           0.5
      -1.10535      -0.10175             9           0.5
      -6.70299       1.66304             2           0.5
       1.91471      0.928138             6           0.5
       1.20722       2.81537             9           0.5
        2.8038       -2.9454             4           0.5
      -2.19424      -4.57195             4           0.5
     -0.356032       1.65711             5           0.5
      -3.93505      0.126994             6           0.5
       5.42523       2.51119             3           0.5
     0.0443004      -4.17707             4           0.5
      -3.38469       1.60077             6           0.5
       3.69306     -0.506518             5           0.5
       2.33558      -2.04367             7           0.5
     -0.469122     -0.936161             6           0.5
      -2.62182      -1.30184            -6           0.5
       -2.4474        1.6785            -6           0.5
      0.499914        2.4166            -7           0.5
      -5.03501      -3.28238            -4           0.5
       3.29365       3.98734            -2           0.5
      -3.26516      -2.28878            -3           0.5
      0.913855      -4.74448            -6           0.5
       1.84895        1.2026            -8           0.5
       -2.1424       1.85458            -8           0.5
       2.67813     -0.691701           -12           0.5
     -0.533944      -1.33075            -3           0.5
      -1.85555     -0.852257            -7           0.5
      -5.57975     -0.696219            -3           0.5
       2.72021       4.37075            -5           0.5
     -0.518292     -0.667703            -7           0.5
      -4.29292      0.171684            -8           0.5
      -3.33988       4.29917            -2           0.5
       1.02435       4.12171            -6           0.5
       1.86979       0.58227            -9           0.5
     -0.447781        2.9781            -6           0.5
      -4.84925      -1.91134            -5           0.5
      0.540908      -1.44072            -6           0.5
      -2.66528      -1.40901            -7           0.5
       3.04164      -0.38848            -7           0.5
      -1.70388      -1.39828            -2           0.5
      0.930804      -1.55837            -8           0.5
      0.691036      -3.77379            -2           0.5
      -5.05568      0.637151            -5           0.5
     -0.804407       0.32211            -9           0.5
       0.28485      -1.36968            -4           0.5
     -0.610074       6.01321            -1           0.5
      -1.28325       2.69932            -7           0.5
      -2.26125     -0.633307            -8           0.5
       1.24479        1.8089            -7           0.5
      0.171561       -2.3231            -6           0.5
      -3.74525       4.61192            -2           0.5
        4.0119       5.22266            -1           0.5
      0.449981         3.919            -7           0.5
       2.40409     -0.907461           -11           0.5
     -0.907486       2.13324           -14           0.5
      -5.72678        2.7318            -2           0.5
        4.2864        3.0891            -3           0.5
      -3.22394       1.65255            -3           0.5
     -0.763521      -2.61447            -5           0.5
       3.14489       1.95328            -8           0.5
      -1.93988       2.56361           -10           0.5
       2.28445       3.72246            -4           0.5
       2.95299       -3.6806           -11           0.5
       3.53203       1.33488            -3           0.5
      -0.65964    -0.0659999            -8           0.5
       2.28344       2.75725            -8           0.5
      -3.46637      0.606574            -6           0.5
       2.67262      0.562498            -6           0.5
       3.63391      -1.31037           -11           0.5
      -6.36813       1.49153            -2           0.5
     -0.927685      -4.27097            -5           0.5
       2.21891       4.08795            -7           0.5
      -1.19754       2.62019           -12           0.5
      -2.41672      -4.73031            -7           0.5
       4.25588      -2.16719            -4           0.5
        5.0797       1.93879            -2           0.5
       4.51187       2.24115            -2           0.5
       5.63221      -1.40736            -2           0.5
       -3.0578       2.02373            -5           0.5
      -2.88271      -1.22367            -7           0.5
     -0.108238       3.03058            -9           0.5
       3.81785      -2.93069            -9           0.5
      -4.96551       3.13373            -2           0.5
    -0.0727258     -0.522717            -7           0.5
      -2.88474     0.0316131            -9           0.5
      0.500188       5.76811            -1           0.5
      -1.03505       4.79672            -1           0.5
       1.14877       3.33267            -7           0.5
       4.83494        2.3926            -4           0.5
      -2.33063      -3.66374            -8           0.5
      -4.10276      0.116792           -10           0.5
       3.05594       1.68212            -4           0.5
      -5.22892      0.905428            -2           0.5
     -0.101174        7.1137            -1           0.5
      -1.99943      -2.30953            -8           0.5
